course_uid,display_title_ko,display_title_en,primary_course_code,alias_course_codes,participating_departments,tags,credit_hours,lecture_hours,lab_hours,department_context,offered_2025_1,offered_2025_2,description,source_page_first_seen,raw_title_ko,raw_title_en
GS1102,일반물리학 및 연습 II,General Physics & Rec.II,GS1102,,기초교육학부 | 물리,,3.0,3.0,1.0,기초 선택,False,True,"이 강좌는 전자기학과 현대물리학에 관한 개론이다. 전하, 쿨롱의 법칙, 전위, 전기 쌍극자, 정전기 에너지, 그 리고 전자기 유도 현상의 개념이 소개되며, 맥스웰의 방정식과 전자기파의 개념, 기하 광학과 파동 광학도 다루어진다. 또한 양자역학과 응집물질물리학, 소립자물리학 등의 현대물리학 의 기본 개념에 대한 소개가 이루어진다.",73,일반물리학 및 연습 II,General Physics & Rec.II
GS1112,일반물리학 실험 II,General Physics ExperimentII,GS1112,,기초교육학부 | 물리,,1.0,0.0,2.0,기초 선택,False,True,"이 강좌는 폭넓은 실험을 통해 기본적인 물리실험 기술과 일반적인 물리의 원리를 소개하는 것을 목적으로 한다. 실험 주제들은 일반물리학 및 연습 II(GS1102) 및 고급일반물리학 및 연습 II(GS1104)와 관련된다. 전자기학 관련 실험(전기적/자기적 특성 실험 및 전자공학 관련 실험)과 광학을 주제로 한 실험을 중심으로 구성되어 있으며, 데이터 분석과 실험결과의 해석이 특별히 강조된다.",74,일반물리학 실험 II,General Physics ExperimentII
GS2931,독일어 1,German 1,GS2931,,기초교육학부 | GSC,,2.0,2.0,0.0,인문 선택,True,False,"독일은 역사적으로 다양한 분야에서 선진 시스템을 갖추고 있으며, 특히 과학기술 분야의 학문 적 성과는 그 영향력이 매우 강력하다. 이 과목 은 초급 수준 독일어 의사소통 능력의 습득을 목표로 한다. 독일과 유럽의 다양한 문화를 이해함으로써 글로벌 역량을 강화하도록 도와준다. 대학과 학생들의 요구를 반영하여 수업을 설계할 것이며, 예를 들어 과학기술 독일어나 융합학 문 등도 포함될 수 있다.",88,독일어 1,German 1
GS2932,독일어 2,German 2,GS2932,,기초교육학부 | GSC,,2.0,2.0,0.0,인문 선택,False,False,"독일과 유럽은 여러 부문에서 세계적인 수준의 학문적 역량을 보유하고 있으며, 특히 과학의 역 사와 철학에 지대한 영향을 끼친 바 있는 기초 과학 분야의 학술적 업적은 그 가치를 인정받고 있다. 이 과목은 초급 수준의 독일어 의사소통 능력의 활용을 목표로 한다. 독일과 유럽의 주제 별 문화를 탐구하고 상호문화 능력을 증진시킴으로써 글로벌 인재로 성장하는 것을 도와준다. 수강생들과의 협의를 통해 학습 내용을 결정 하며, 예를 들어 유럽연합의 과학기술 정책이나 미 디어 문화 등도 다룰 수 있다.",88,독일어 2,German 2
MC4208,그래피컬 시스템 디자인 프로그래밍,Graphical System Design Programming,MC4208,,공과대학 | 기계로봇공학과,,3.0,2.0,2.0,기계로봇공학과,False,True,"기계공학을 포함한 다양한 연구 분야에서 양질의 데이터 확보, 분석, 제어능력 배양은 기계공학 전공 학부생들을 포함한 재원들이 고급 연구자로서 자질을 확보하는데 필수적이다. 본 과목에서 는 상기 소양을 LabVIEW를 통해 습득하고, 연구 및 산업현장에 적용할 수 있도록 유도하고자 한다.",167,그래피컬 시스템 디자인 프로그래밍,Graphical System Design Programming
MC3201,열전달,Heat Transfer,MC3201,,공과대학 | 기계로봇공학과,,3.0,3.0,0.0,기계로봇공학과,True,False,"본 교과목은 열전달의 세 가지 모드인 전도, 대류, 복사를 소개한다. 전도에서는 유체 분자의 임의운 동, 고체에서는 격자진동이나 전자의 움직임에 의해 열전달이 이루어진다. 반면 대류에서는 유체분자 각각의 임의 움직임이 아닌 집단 움직임에 의해 물질전달 과 함께 열전달이 이루어지는 게 특징이다. 전도나 대류와는 다르게 복사에서는 전자기파가 직접 열에너지를 전달하기 때문에 어떠한 매질도 필 요로 하지 않는다. 열전달 지식은 자동차 엔지, 에어컨디셔너, 인공위성과 같은 다양한 기계시스템에 적용되고 있다.",164,열전달,Heat Transfer
GS2104,물리학의 역사와 철학,History and Philosophy of Physics,GS2104,,기초교육학부 | 물리,,3.0,3.0,0.0,기초 선택,False,False,"이 과목의 목적은 주요 물리학 이론을 역사적인 맥락에서 소개하고 관련된 철학적 쟁점을 이해 하는 것이다. 먼저 역학, 전자기학, 통계역학과 같은 고전물리의 역사적 발전과정과 이에 기반한 결정론적인 세계관을 논의한다. 이어서 상대론과 양자물리 등 현대 물리의 태동과 발전, 철학적인 함의를 논의하고 이와 관련된 세계관을 다룬다. 마지막으로 물리학과 다른 과학과의 관련성을 이해 하고, 빅히스토리의 관점에서 물리학을 조망한다.",82,물리학의 역사와 철학,History and Philosophy of Physics
HS2656,상품의 역사,History of Commodities,HS2656,,기초교육학부 | HUS,,3.0,3.0,0.0,인문 선택,False,True,"이 수업에서는 인간의 생존과 경제활동에 가장 필수적인 재화 및 상품의 생산과 교환, 그리고 그것을 둘러싼 정치적, 사회적, 문화적 교류와 경쟁 과정을 살펴볼 것이다. 이를 바탕으로 우리 는 물질문명을 중심으로 인간과 인간 사회가 어떤 변화를 겪었고 또 앞으로 어떤 변화를 겪게 될 것인지에 대해 토론할 것이다. 이 수업을 통해서 강의를 듣는 학생들이 인류사에서 재화와 상품을 중심으로 일어나는 여러 가지 사건과 구조적 변동을 파악하고 동시대 세계의 문제들에 대한 이해를 심화할 수 있을 것이다.",96,상품의 역사,History of Commodities
HS2618,중동부 유럽 및 러시아사의 역사,History of East Central Europe and Russia,HS2618,,기초교육학부 | HUS,,3.0,3.0,0.0,인문 선택,False,False,"본 강의는 유럽사의 또 다른 한 축인 중동부 유럽과 러시아의 역사를 다룬다. 중세 이래 유럽사 및 세계사적 변동에서 매우 중요한 지역이었음에도 많은 조명을 받지 못했다. 따라서 본 수업에 서는 이 지역의 역사에 대한 포괄적인 이해를 위해 지역의 지리적 범위에서부터 경제, 사 회 및 문화 전반이 개괄적으로 다뤄질 것이다.",95,중동부 유럽 및 러시아사의 역사,History of East Central Europe and Russia
HS2582,한글의 역사,History of Hangeul,HS2582,,기초교육학부 | HUS,,3.0,3.0,0.0,인문 선택,False,True,"본 강좌의 목표는 학생들이 세종대왕 시대에 창제된 한글의 역사와, 한글의 발전과 계승에 기여한 사람들의 역사를 이해하도록 돕는 것입니다.",93,한글의 역사,History of Hangeul
HS2611,국제관계의 역사,History of International Relations,HS2611,,기초교육학부 | HUS,,3.0,3.0,0.0,인문 선택,False,False,"본 강좌는 근대 이후 국제관계의 역사적 흐름을 고찰하여, 21세기 세계와 한국이 당면하고 있는 국제정치의 여러 문제를 이해할 수 있는 토대를 마련하는 데 목표가 있다. 특히, 본 수업의 주 요 내용은 17세기 30년 전쟁 이후의 베스트팔렌 체제로부터 출발하여, 18세기 본격적 인 국제 관계의 성립, 19세기 열강 정치와 제국주의, 그리고 20세기 이데올로기 경쟁 및 냉전 종식까지 의 국제관계의 변화가 될 것이다.",94,국제관계의 역사,History of International Relations
HS2834,역사 속의 과학,History of Science,HS2834,,기초교육학부 | PPE,,3.0,3.0,0.0,인문 선택,True,False,"현대 사회에서 과학은 높은 인식적, 사회적 권위를 누리고 있다. 과학은 언제부터 이런 권위를 누려왔을까? 이 강의는 고대 그리스의 자연철학부터 유럽의 과학혁명을 거쳐 현대 물리학과 분 자생물학의 부상까지 과학의 오랜 역사를 살피면서 과학지식이 어떻게 사회문화와 조응하면서 현재의 모습을 형성해왔는지 탐색한다. 이 강의를 통해 학생들은 보편성을 주장하는 서구의 과 학지식이 실은 특수한 역사적 맥락에서 생성된 지식과 실천임을 이해할 수 있을 것이다.",104,역사 속의 과학,History of Science
GS1302,인간 생물학,Human Biology,GS1302,,생명·의과학융합대학 | 생명과학과,,3.0,3.0,0.0,기초 필수,True,True,"인간 생물학은 인체가 어떻게 작용하는지를 이해하는 것과 인체 기관과 신체 작업을 수행하는 관계를 이해하는 두 가지 주요 기능을 가지고 있다. 이 과정에서는 인체 장기의 해부학과 생리학 에 대해 간략히 소개하고, 장기의 구조와 기능의 결함으로 인한 인간의 질병에 대해 살펴본다.",76,인간 생물학,Human Biology
HS2839,인간의 미래,Human Futures,HS2839,,기초교육학부 | PPE,,3.0,3.0,0.0,인문 선택,True,False,이 강의는 기후위기와 불평등을 다루는 현대 저작들을 살펴보면서 인류의 미래를 함께 논의할 것이다. 우 리는 다음과 같은 주제를 다룰 것이다. 인류세란 무엇인가? 기후위기와 자본주의는 어떤 관계인가? 기술 은 기후위기로부터 우리를 구원할 수 있는가? 탈성장과 커먼즈는 대안이 될 수 있는가? 자동화와 디지털 화는 불평등을 양산하는가? 능력주의는 불평등문제에 대한 해답이 될 수 있는가? 기본소득이 가능하고 필요한 것일까? 이를 위해 우리는 장르를 넘나들며 주요 저작들을 함께 읽고 수업시간에 토론할 것이다.,104,인간의 미래,Human Futures
HS2742,인간의 마음과 행동 1,Human Mind and Human Behavior 1,HS2742,,기초교육학부 | PPE,,3.0,3.0,0.0,인문 선택,True,False,"본 과목의 목적은 과학적 심리학의 본질을 소개하고, 인간의 기본적인 행동과 마음의 작용이 어떻게 이루어지는지를 이해하는 것이다. 특히, 수강생들은 신경 세포들의 의사소통 과정에서부터 기억, 언 어처리와 같은 상위 인지 과정에 이르는 다양한 스펙트럼의 인간의 행동에 대해 배움으로써, 인간의 행동에 대한 이해의 깊이를 더할 수 있으며, 더 나아가 심리학의 중요한 특징 중 하나인 융합 연구 의 사례들을 자연스럽게 접함으로써 통섭적 사고 능력을 배양할 수 있다.",99,인간의 마음과 행동 1,Human Mind and Human Behavior 1
HS2743,인간의 마음과 행동 2,Human Mind and Human Behavior 2,HS2743,,기초교육학부 | PPE,,3.0,3.0,0.0,인문 선택,False,True,"본 과목은 인간의 성격, 발달, 사회 속에서의 인간의 행동, 동기와 정서, 그리고 인간의 이상행 동과 치료에 대해서 배움으로써 인간에 대한 보다 심층적인 이해를 도모한다. 또한 비교 문화 심리학을 통해서 한국인의 심리적 특성을 이해하며, 심리학이 실생활에서 또는 타 분야에서 어 떻게 이용되는지를 소개한다.",99,인간의 마음과 행동 2,Human Mind and Human Behavior 2
MD4502,인간유전학,Human Molecular Genetics,MD4502,,생명·의과학융합대학 | 의생명공학과,,3.0,3.0,0.0,의생명공학과,False,False,"인간 유전학의 내용과 함께 의학에서 응용되고 있는 다양한 분야를 이해한다. 본 과목은 이와 관련된 유전학 최신 기술현황과 산업 적 특성을 파악하고, 이를 통해 환자에게 적용 가능한 진 단, 치료 예방 분야를 개척할 수 있는 기반을 다진다.",189,인간유전학,Human Molecular Genetics
EV4224,대기질 자료 분석과 응용 I,Air Quality Data Analysis and Its application I,EV4224,,공과대학 | 환경·에너지공학과,,3.0,3.0,0.0,환경·에너지공학과,False,False,"방대한 대기질 관련 정보의 홍수 속에 객관적으로 자료 이해하여 올바른 가치판단을 내릴 수 있 는 전문가 양성을 위한 수업으로, 현 인류가 당면하고 있는 대기질 현안 소개는 물론, 전 세계 적으로 활용할 수 있는 공개 자료(예: NASA, NOAA, 에어 코리아 등)를 분석하고 이해 함을 주 내용으로 한다. 이를 통해 변화하고 있는 대기 환경 및 대기질 저하 현상에 보다 능동적으로 대 처할 수 있는 능력 함양을 본 수업의 목표로 한다.",178,대기질 자료 분석과 응용,I Air Quality Data Analysis and Its application
PS2101,고전역학 및 연습 I,Classical Mechanics and Recitation I,PS2101,,자연과학대학 | 물리·광과학과,,3.0,3.0,1.0,물리·광과학과,True,False,"본 교과목은 일반 물리를 수강한 학생들에게 학부 고전 역학에 대한 강의를 제공함으로써, 학생 들이 장차 전공 학 습에 필요한 중요 개념 및 방법론을 익히도록 하는데 목적이 있으며, 별도의 연습 시간을 통해 응용력을 향상시킨다. 강의 내용은 뉴턴 역학, 에너지 및 운동량 보존, 해석 역학, 중력장 내에서의 운동, 진동, 강체의 운동 등 을 포함하며, 또한 물리학 연구에 있어서 고 전 역학의 활용을 살펴본다.",139,고전역학 및 연습,I Classical Mechanics and Recitation I
EC2105,공학전자기학 I,Engineering Electromagnetics I,EC2105,,정보컴퓨팅대학 | 전기전자컴퓨터공학과,,3.0,3.0,0.0,전기전자컴퓨터공학과,True,False,"본 과목은 축전기, 모터, 발전기 및 변압기, 미세전자기계시스템 등 공학적 응용들에서의 필요한 정전자기 현상 들을 살펴본다. 전하, 전기장 및 자기장, 전기 포텐셜, 벡터 포텐셜, 전류 밀도 등의 기본적인 개념을 소개한다.",116,공학전자기학,I Engineering Electromagnetics I
MC2201,공업수학 I,Engineering Mathematics I,MC2201,,공과대학 | 기계로봇공학과,,3.0,3.0,0.0,기계로봇공학과,True,False,"본 강좌는 기계공학 전공자를 위한 기초 수학 학습을 목표로 합니다. 학생들은 이 강좌에서 기계공학에 필수적인 상미분방정식과 선형대수의 기초를 배우게 됩니다. 구체적으로는 1차, 2차 및 고차 미분방정식, 미분방정식의 급수 해법, 라플라스 변환 등을 다룹니다. 강좌 후반부에서는 선형대수, 즉 행렬, 벡터, 행렬식, 벡터 미분, 벡터 적분 등을 학습합니다.",163,공업수학,I Engineering Mathematics I
EV3106,환경분석실험 I,Environmental Laboratory I,EV3106,,공과대학 | 환경·에너지공학과,,3.0,1.0,4.0,환경·에너지공학과,False,True,환경분석실험Ⅰ 에서는 수업 및 과제에서 수행하는 상수 처리와 같은 기본적인 수처리 및 미세 먼지와 같은 대기 오염 등의 환경문제에 대한 실험을 통해 환경공학의 기본 개념 및 공학자료 수집 및 분석에 대한 능력을 기르고 자 한다.,174,환경분석실험,I Environmental Laboratory I
PS3106,물리실험 I,Experimental Physics I,PS3106,,자연과학대학 | 물리·광과학과,,3.0,1.0,4.0,물리·광과학과,False,True,"본 과목에서는 Rutherford, Franck-Hertz, Hall, Doppler, Fraunhofer, Faraday, Compton, and Stern-Gerlach 등 물리학에서 유명한 과학자들과 관련된 현대물리학 원리의 많은 양상들 을 검증하는데 도움이 되는 다양한 기본 실험들을 수행하게 된다. 실험들은 실험종목 들을 선택 해서 꾸며진 팀을 중심으로 수행되며 기본 실험기술, 데이터 분석, 실험결과에 대한 필기 및 발 표 평가 등에 비중을 두어 평가하게 될 것이다.",140,물리실험,I Experimental Physics I
MC2102,유체역학 I,Fluid Mechanics I,MC2102,,공과대학 | 기계로봇공학과,,3.0,3.0,0.0,기계로봇공학과,False,True,"본 강좌는 유체 역학의 기본 원리와 다양한 유동 시스템에 대한 응용을 소개합니다. 강의에서는 유체의 특성, 유체 정역학, 유체 운동학, 질량 및 운동량 보존 법칙, 유체 흐름의 지배 방정식, 차원 분석, 점성 유동 등을 다룹니다. 실험 시간에는 다양한 유동 조건에서 유동 시각화 방법을 배우고 유량 측정에 대한 실질적인 경험을 쌓게 됩니다.",162,유체역학,I Fluid Mechanics I
EC2107,기초공학수학 I,Fundamentals of Engineering Mathematics I I,EC2107,,정보컴퓨팅대학 | 전기전자컴퓨터공학과,,3.0,3.0,0.0,전기전자컴퓨터공학과,True,False,"본 과목은 전자공학 (전기, 컴퓨터 포함) 및 반도체공학 관련 학과의 학부생을 대상으로 설계된 1년 과정의 수학 교과목 중 첫 번째 부분이다. 해당 분야 학생이 여러 전공과목을 수강하고 이 해하는 데 필요한 필수적인 수학 분야를 주로 선택하여 수학 자체만이 아니라 관련 전공 분야에 서의 실제적 의미를 제공하고자 한다. 1년 과정의 첫 번째 학기에서는 주로 상미분방정식과 선 형대수학을 여러 응용과 함께 다루고자 한다.",116,기초공학수학,I Fundamentals of Engineering Mathematics I
GS1201,일반화학 및 연습 I,General Chemistry & Rec. I,GS1201,,자연과학대학 | 화학과,,3.0,3.0,1.0,기초 필수,True,True,"이 과목은 우리 주변에서 일어나고 있는 현상들을 분자 수준에서 화학적으로 이해하기 위해 필요 한 기본 원리와 개념들을 다룬다. 화학식과 화학 반응식, 고전역학 및 양자역학적 관점에서 본 원 자와 분자의 구조 및 결합이론, 화학 결합, 전이금속 화학, 기체상과 응축상의 성질 등을 소개한다.",74,일반화학 및 연습,I General Chemistry & Rec. I
GS1203,고급일반화학 및 연습 I,General Chemistry & Rec. I -Honors I,GS1203,,자연과학대학 | 화학과,,3.0,3.0,1.0,기초 필수,False,False,"원자론, 원소의 기원, 원자 구조, 화학 결합, 분자 구조, 분자 간 상호작용 등 화학의 핵심 내용 을 하버의 암모니아 합성이나 DNA 이중나선 구조 등을 중심으로 하나의 스토리로 구성한다. 그 리고 페랑(아보가드로수), 펜지어스(원소의 기원), 퀴리(방사성 원소), 러더포드(핵 구조), 폴링(화 학 결합), 디바이(분자 구조) 반데르발스(기체) 등의 노벨상 수상 강연과 루이스(옥텟규칙), 밀러 (화학적 진화) 등의 주요 논문을 읽으면서 발표, 토의식으로 수업한다.",74,고급일반화학 및 연습,I General Chemistry & Rec. I -Honors
GS1101,일반물리학 및 연습 I,General Physics & Rec. I,GS1101,,자연과학대학 | 물리·광과학과,,3.0,3.0,1.0,기초 필수,True,False,"고전 역학과 기본적인 열역학에 대한 개론. 공간, 시간, 힘, 운동량, 각운동량, 에너지, 운동량 및 에너지 보존법칙의 개념 이 소개된다. 이러한 기본적인 물리학 개념들은 강체의 동역학, 중 심력 문제, 그리고 이상기체의 동역학 이해에 적용된다.",73,일반물리학 및 연습,I General Physics & Rec. I
GS1103,고급일반물리학 및 연습 I,General Physics & Rec. I –Honors I,GS1103,,자연과학대학 | 물리·광과학과,,3.0,3.0,1.0,기초 필수,True,False,"고전 역학, 고전 전자기학, 특수 상대론, 일반 상대론과 양자물리학의 기본적인 아이디어를 다룬 다. 먼저, 고전역학과 전자기학을 중심으로 힘, 운동량, 각운동량, 에너지, 보존법칙들의 개념을 깊이 있게 탐구한다. 또한 최소작용원리와 뉴턴법칙과의 관계, 수학과 물리학의 관계 등을 다룬다. 이후, 상대론/양자물리학을 중심으로 시간과 공간의 개념과 물질의 양자적 본질에 관하여 여러 각도에서 생각해 보고, 이를 바탕으로 고전적 물리 개념들이 어떻게 수 정 되는지 공부한다. 이러한 기본적인 물리 개념들을 중심력 문제, 조화진동자 문제, 강체의 동역학 등에 적용한다.",73,고급일반물리학 및 연습,I General Physics & Rec. I –Honors
GS1111,일반물리학 실험 I,General Physics Experiment I,GS1111,,자연과학대학 | 물리·광과학과,,1.0,0.0,2.0,기초 필수,True,False,이 강좌는 폭넓은 실험을 통해 기본적인 물리학실험 기술과 일반적인 물리학의 원리를 소개하는 것을 목적으로 한다. 실험 주제는 일반물리학 및 연습 I(,74,일반물리학 실험,I General Physics Experiment I
MM4302,기하학 I,Geometry I,MM4302,,자연과학대학 | 수리과학과,,3.0,3.0,0.0,수리과학과,False,False,"이 강의는 주로 3학년 학생들과 학업이 우수한 2학년 학생들을 대상으로 한다. 유클리드 기하학과 비유 클리드 기하학을 이해하기 위해서는 미적분학과 선형대수학에 대한 지식이 강력히 권장되며, 미분방정식 과 대칭군에 대한 지식이 있다면 도움이 될 것이다.",152,기하학,I Geometry I
CH3208,무기화학 I,Inorganic Chemistry I,CH3208,,자연과학대학 | 화학과,,3.0,3.0,0.0,화학과,True,False,"이 과목은 무기 복합체 및 화합물의 분자 구조와 특성에 중점을 둔다. 결합의 개념, 주기적인 특성의 경향, 분자 대칭 및 스펙트럼과의 관계, 고체 상태 등을 이해한다.",146,무기화학,I Inorganic Chemistry I
MC3106,기계공학실험 I,Mechanical Engineering Laboratory I,MC3106,,공과대학 | 기계로봇공학과,,3.0,1.0,4.0,기계로봇공학과,True,False,"본 실험과목은 기계공학에서 중요한 주제 중에서 세 가지인 전기전자 기초, 고체 역학, 동역학 을 배울 수 있도록 설계되었다. 전기전자 분야에서는 계측기 사용법, 전자회로 실험 및 LabVIEW를 사용한 신호처리 실험을 수행한다. 고체 역학에서는 UTM을 사용한 재료 시험과 스 트레인 게이지 실험을, 동역학에서는 회전관성 및 물리진자에 관련된 다양한 실험을 수행하며 이론치와 비교, 분석한다.",163,기계공학실험,I Mechanical Engineering Laboratory I
BS3209,생리학 I,Physiology I,BS3209,,생명·의과학융합대학 | 생명과학과,,3.0,3.0,0.0,생명과학과,False,True,"생리학은 생물체의 기능을 물리·화학적 원리로 이해하고자 하는 학문이다. 생리학은 그 관심의 대상 및 분석의 수준에 따라 세분화 될 수 있으나, 본 과목은 동물 특히 인간을 대상으로 세포, 조직, 기관 및 기관계 수준에서 일어나는 생명현상을 이해하고자 한다. 타 과목과의 중복을 최 소화하고 심도있는 학습을 위하여, 근육생리학, 심혈관계 순환, 호흡과 폐순환, 의장관 생리학, 내분비 생리학 및 생식 생리학 등이 중점적으로 다루어질 예정이다. 본 과목을 통해 인체 기능 의 작동원리를 분자 및 세포 수준에서 이해할 수 있기를 기대한다.",184,생리학,I Physiology I
MD4401,분자생물학의 실질적 이해 I,Practical Understanding of Molecular Biology I,MD4401,,생명·의과학융합대학 | 의생명공학과,,3.0,3.0,0.0,의생명공학과,True,False,"이 강좌는 학부 3-4학년과 석, 박사 초기 과정의 대학원생을 대상으로 한다. 수업을 통해 학생들은 어떻 게 생물의 중요한 원리와 기전들이 분자생물학 연구를 통해 밝혀져 왔는지를 학습한다. 이는 학생들이 실 제 연구실에서 경험할 분자생물학 연구를 이해하고 설계하는 능력 향상을 돕기 위함이다.",188,분자생물학의 실질적 이해,I Practical Understanding of Molecular Biology I
PS3103,양자물리 및 연습 I,Quantum Physics & Rec. I,PS3103,,자연과학대학 | 물리·광과학과,,3.0,3.0,1.0,물리·광과학과,True,False,"이 과목은 현대물리학을 이해하기 위해 반드시 필요한 양자역학의 기본 원리와 이론적 토대를 제공하게 된다. 이 과목에서 다루어질 주 요 주제는 고전역학과 그 한계점, 파동역학의 태동과 불확정성원리, 양자역학에서의 기본 가설, 슈뢰딩거 방정식, 고유함수 및 고유 값, 1차원 문제, 파동역학의 일반 구조, 양자역학의 연산자 방법, N-입자계 등이다.",140,양자물리 및 연습,I Quantum Physics & Rec. I
MC2101,고체역학 I,Solid Mechanics I,MC2101,,공과대학 | 기계로봇공학과,,3.0,3.0,0.0,기계로봇공학과,True,False,"이 과목에서는 스트레스 스트레인, 변형, 탄성, 변형 에너지, 빔의 처짐 등의 기본적 개념과 함께 기본 기 계 구조들의 텐션, 압축, 뒤틀림, 굽힘 등을 다룬다. 이 과목은 기계 구조물에 작용하는 힘과 이에 따른 변형에 대한 내용을 다룸으로써 기계적 구조 해석 및 설계에 유용하게 이용될 수 있다.",162,고체역학,I Solid Mechanics I
HS2751,전략경영 I,Strategic Management I,HS2751,,기초교육학부 | PPE,,3.0,3.0,0.0,인문 선택,False,False,"전략경영은 기업이 어떻게 지속가능한 경쟁우위를 획득하는지에 대한 학문이다. 이 과목은 지속가 능한 경쟁우위의 원천에 대한 천착을 그 목적으로 하며, 학생들로 하여금 사업전략 및 기업전략에 대한 개념과 이론을 효과적으로 습득할 수 있도록 하는 사례분석을 포함한 다양한 교과활동으로 이루어진다. 이 과목의 목표는 유수의 기업들의 전략적 행동들과 이의 경영학적 함의, 그리고 그 전략적 행동들이 기업들의 성패 에 기여하는 메커니즘에 대한 확실한 이해를 갖추는 데에 있다.",100,전략경영,I Strategic Management I
MC2100,열역학 I,Thermodynamics I,MC2100,,공과대학 | 기계로봇공학과,,3.0,3.0,0.0,기계로봇공학과,True,False,"열역학은 열과 일 및 에너지 상호 변환을 다루는 학문으로, 본 과목에서는 기초적인 열역학의 개념을 배우고, 가스 터빈, 증기 기관, 냉각 기관 등의 대표적인 열기관을 통해 기본 개념의 응 용을 배우게 된다.",162,열역학,I Thermodynamics I
CH2401,화학전공연구 I,Undergraduate Research in Chemistry I,CH2401,,자연과학대학 | 화학과,,1.0,0.0,3.0,화학과,True,True,"이 과목은 화학과 학부 학생에게 다양한 화학 분야의 연구를 경험하는 기회를 제공하고자 고안 되었다. 학생은 학기 당 한 랩에서 연구를 진행하며 재학 중 총 3학기 간 다른 랩에서 연구 경험을 쌓을 수 있다. 학생은 교과 및 실험 수업에서 가졌던 호기심이나 지도교수와의 논의를 통해 연구를 진행한다. 이를 통해 학생 주도적인 연구 경험을 쌓고, 진로를 설정하는데 도움을 받을 수 있다.",145,화학전공연구,I Undergraduate Research in Chemistry I
EV4217,대기화학과 기후변화 II,Atmospheric Chemistry & Climate Change II,EV4217,,공과대학 | 환경·에너지공학과,,3.0,3.0,0.0,환경·에너지공학과,False,False,"대기화학과 기후변화 II에서는 기존의 대기화학과 기후변화에서 다루었던 내용을 토대로 이를 보다 심화 학습하고, 대기화학과 관련된 기상 및 기후변화, global change까지를 포괄하는 내 용을 강의하고자 한다.",178,대기화학과 기후변화,II Atmospheric Chemistry & Climate Change II
PS2103,전자기학 및 연습 II,Electromagnetism & Rec. II,PS2103,,자연과학대학 | 물리·광과학과,,3.0,3.0,1.0,물리·광과학과,False,True,"이 과목은 도전탐색과정에서 전자기학 및 연습 I을 이수한 학생들을 위한 전자기학 1년 과정의 두 번째 학기 과목이다. 이 과목에 서 다루어질 주요 주제는 진공에서 및 매질 내에서의 전자기 파 거동, 속박된 영역에서의 전자기파 거동, 분산 및 흡수, 포텐셀 및 전자기장, 광복사, 전기동 역학과 상대론 등이다.",139,전자기학 및 연습,II Electromagnetism & Rec. II
MC2202,공업수학 II,Engineering Mathematics II,MC2202,,공과대학 | 기계로봇공학과,,3.0,3.0,0.0,기계로봇공학과,False,True,"This course aims to study basic mathematics for mechanical engineers. In this course, students will learn basics of Fourier analysis and partial differential equations, and complex analysis required for mechanical engineering. Details include Four series, integrals, transforms, and partial differential equations. Second part of the course include complex numbers, complex integrals, power sereis.",163,공업수학,II Engineering Mathematics II
EV4107,환경분석실험 II,Environmental Laboratory II,EV4107,,공과대학 | 환경·에너지공학과,,3.0,1.0,4.0,환경·에너지공학과,True,False,환경분석실험Ⅱ 에서는 수업 및 과제에서 수행하는 하수 처리와 같은 기본적인 수처리 및 미생 물을 활용한 환경 처리 공정에 대해 실험을 통해 환경공학의 기본 개념 및 공학자료 수집 및 분 석에 대한 능력을 기르고자 한다.,176,환경분석실험,II Environmental Laboratory II
PS4204,물리실험 II,Experimental Physics II,PS4204,,자연과학대학 | 물리·광과학과,,3.0,1.0,4.0,물리·광과학과,True,False,"본 과목에서는 Rutherford, Franck-Hertz, Hall, Doppler, Fraunhofer, Faraday, Compton, and Stern-Gerlach 등 물리학에서 유명한 과학자들과 관련된 현대물리학 원리의 많은 양상들 을 검증하는데 도움이 되는 다양한 기본 실험들을 수행하게 된다. 실험들은 실험종목 들을 선택 해서 꾸며진 팀을 중심으로 수행되며 기본 실험기술, 데이터 분석, 실험결과에 대한 필기 및 발 표 평가 등에 비중을 두어 평가하게 될 것이다.",141,물리실험,II Experimental Physics II
MC3214,유체역학 II,Fluid Mechanics II,MC3214,,공과대학 | 기계로봇공학과,,3.0,3.0,0.0,기계로봇공학과,False,False,This course is the 2nd course for Fluid Mechanics. Students will learn fundamentals not covered in the 1st course,165,유체역학,II Fluid Mechanics II
CH4208,무기화학 II,Inorganic Chemistry II,CH4208,,자연과학대학 | 화학과,,3.0,3.0,0.0,화학과,False,True,"이 과목은 무기화학의 중요 원리를 다루고 있다. 강의 주제는 배위결합화합물, 유기금속화합물, 생 무기화합물의 분자 구조, 화학 결합, 전자적 성질과 관련한 주요 개념과 이론을 포함하고 있다.",147,무기화학,II Inorganic Chemistry II
MC3107,기계공학실험 II,Mechanical Engineering Laboratory II,MC3107,,공과대학 | 기계로봇공학과,,3.0,1.0,4.0,기계로봇공학과,False,True,"This course is designed to learn three important subjects in mechanical engineering, i.e. thermodynamics, fluid mechanics and CAD/CAM. In the field of thermodynamics, standard refrigeration experiment and heat transfer experiment using TEG are carried out. Reynolds and Venturi meter experiments in the field of fluid mechanics, and 3D design & printing and CNC milling experiments in the field of CAD/CAM are carried out. The results from experiments will be compared and analyzed with theoretical values.",164,기계공학실험,II Mechanical Engineering Laboratory II
