course_code,applies_from_admission_year,applies_to_admission_year,is_offered,is_required,category_override,subcategory_override,counting_policy,term_recommendation,prerequisites,corequisites,remarks,source_handbook_year
GS2006,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1303,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS4017,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1311,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS4018,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS4019,2018,2020,TRUE,,,,,,,,course_type_raw=전컴; department=; page=22,2020
GS1401,2018,2020,TRUE,,,,,,,,course_type_raw=전컴; department=; page=22,2020
GS1102,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1511,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1104,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1512,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1112,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1513,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS2104,2018,2020,TRUE,,,,,,,,course_type_raw=글쓰기; department=; page=22,2020
GS1531,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1202,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1204,2018,2020,TRUE,,,,,,,,course_type_raw=언어필수; department=; page=22,2020
GS1532,2018,2020,TRUE,,,,,,,,course_type_raw=언어필수; department=; page=22,2020
GS1212,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1533,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS2204,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1601,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS2206,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS1603,2018,2020,TRUE,,,,,,,,course_type_raw=영어; department=; page=22,2020
GS1321,2018,2020,TRUE,,,,,,,,course_type_raw=영어; department=; page=22,2020
GS2652,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS2303,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS2311,2018,2020,TRUE,,,,,,,,course_type_raw=SW필수; department=; page=22,2020
GS1490,2018,2020,TRUE,,,,,,,,course_type_raw=SW필수; department=; page=22,2020
GS3301,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS3311,2018,2020,TRUE,,,,,,,,course_type_raw=GS0101~GS0114; department=; page=22,2020
GS4301,2018,2020,TRUE,,,,,,,,course_type_raw=예체능필수; department=; page=22,2020
GS1402,2018,2020,TRUE,,,,,,,,course_type_raw=GS0201~GS0212; department=; page=22,2020
GS2407,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=22,2020
GS2408,2018,2020,TRUE,,,,,,,,course_type_raw=세미나필수; department=; page=22,2020
GS1901,2018,2020,TRUE,,,,,,,,course_type_raw=세미나필수; department=; page=22,2020
GS1431,2018,2020,TRUE,,,,,,,,course_type_raw=기계; department=; page=23,2020
GS2524,2018,2020,TRUE,,,,,,,,course_type_raw=기계; department=; page=23,2020
GS1451,2018,2020,TRUE,,,,,,,,course_type_raw=소재; department=; page=23,2020
GS2525,2018,2020,TRUE,,,,,,,,course_type_raw=소재; department=; page=23,2020
GS1471,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2526,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2472,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2544,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2473,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2601,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2474,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2602,2018,2020,TRUE,,,,,,,,course_type_raw=환경; department=; page=23,2020
GS2835,2018,2020,TRUE,,,,,,,,course_type_raw=기초선택; department=; page=23,2020
GS2603,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2836,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2611,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3804,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2612,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS4471,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2613,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2806,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2614,2018,2020,TRUE,,,,,,,,course_type_raw=기타; department=; page=23,2020
GS2809,2018,2020,TRUE,,,,,,,,course_type_raw=기타; department=; page=23,2020
GS2615,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2811,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2616,2018,2020,TRUE,,,,,,,,course_type_raw=화학; department=; page=23,2020
GS2202,2018,2020,TRUE,,,,,,,,course_type_raw=화학; department=; page=23,2020
GS2471,2018,2020,TRUE,,,,,,,,course_type_raw=지구환경; department=; page=23,2020
GS2618,2018,2020,TRUE,,,,,,,,course_type_raw=지구환경; department=; page=23,2020
GS1605,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2621,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS1606,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2625,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2651,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2627,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2653,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2814,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3501,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2654,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3502,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3504,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2655,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3651,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3601,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS1491,2018,2020,TRUE,,,,,,,,course_type_raw=SW선택; department=; page=23,2020
GS3602,2018,2020,TRUE,,,,,,,,course_type_raw=SW선택; department=; page=23,2020
GS2501,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3603,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2503,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3604,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2505,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3621,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2506,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3623,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2507,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3624,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2509,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3626,2018,2020,TRUE,,,,,,,,course_type_raw=인문선택; department=; page=23,2020
GS2510,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3662,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2511,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3801,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2512,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3802,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2521,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3803,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2522,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS3901,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2523,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=23,2020
GS2620,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2762,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2661,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2763,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2701,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2765,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2702,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2781,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2703,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2782,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2704,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2783,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2705,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2784,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2706,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2785,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2707,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2786,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2708,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2787,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2709,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2788,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2724,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2803,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2725,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2812,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2726,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2831,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2727,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2832,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2728,2018,2020,TRUE,,,,,,,,course_type_raw=인문선택; department=; page=24,2020
GS2833,2018,2020,TRUE,,,,,,,,course_type_raw=인문선택; department=; page=24,2020
GS2730,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2834,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2731,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2732,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS3631,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2733,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS3632,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2734,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS3633,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2735,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS3663,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2736,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS3721,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2742,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS3751,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2743,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS3752,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2747,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS3753,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2748,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS3762,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2750,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS3763,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2751,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS3764,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2752,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS3861,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2761,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS4741,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS4761,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS4762,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=24,2020
GS2541,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS2101,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2542,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS2102,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2543,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS2103,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS3101,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2791,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS3103,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS3104,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2792,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS3105,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2793,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS3106,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2804,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS3107,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2810,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2815,2018,2020,TRUE,,,,,,,,course_type_raw=인문선택; department=GIST대학 공통과목 과목구분; page=25,2020
PS2201,2018,2020,TRUE,,,,,,,,course_type_raw=인문선택; department=GIST대학 공통과목 과목구분; page=25,2020
GS2816,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS2202,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2817,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS3202,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2818,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS3203,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2819,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS3205,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2821,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS3206,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2822,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS4202,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2931,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS4203,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS2932,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS4204,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
GS3566,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS4205,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS4206,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS4207,2018,2020,TRUE,,,,,,,,course_type_raw=[ GIST대학 공통과목 ]; department=GIST대학 공통과목 과목구분; page=25,2020
PS4208,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS4209,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
UC0201,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS4211,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
UC0202,2018,2020,TRUE,,,,,,,,course_type_raw=대학공통; department=GIST대학 공통과목 과목구분; page=25,2020
PS4212,2018,2020,TRUE,,,,,,,,course_type_raw=대학공통; department=GIST대학 공통과목 과목구분; page=25,2020
UC0203,2018,2020,TRUE,,,,,,,,course_type_raw=(선택); department=GIST대학 공통과목 과목구분; page=25,2020
PS4213,2018,2020,TRUE,,,,,,,,course_type_raw=(선택); department=GIST대학 공통과목 과목구분; page=25,2020
UC0301,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS4214,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS4215,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
UC0901,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS4216,2018,2020,TRUE,,,,,,,,course_type_raw=대학공통; department=GIST대학 공통과목 과목구분; page=25,2020
PS9101,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
UC9331,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS9102,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
PS9103,2018,2020,TRUE,,,,,,,,course_type_raw=; department=GIST대학 공통과목 과목구분; page=25,2020
BS2101,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH2101,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS2102,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH2102,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS3101,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH2103,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS3105,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH2104,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS3111,2018,2020,TRUE,,,,,,,,course_type_raw=전공필수; department=; page=26,2020
CH2105,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS3112,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH3104,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS3113,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH3106,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS2201,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH3107,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS3201,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH2106,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS3202,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH2201,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS3204,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS3205,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH3205,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4201,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH3207,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4202,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH4205,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH4211,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4204,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH4212,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4205,2018,2020,TRUE,,,,,,,,course_type_raw=전공선택; department=; page=26,2020
CH4213,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4206,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH4216,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4207,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH4219,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4211,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4212,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH4220,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4213,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH4221,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4214,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH4222,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH4223,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4215,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
CH9101,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4216,2018,2020,TRUE,,,,,,,,course_type_raw=연구; department=; page=26,2020
CH9102,2018,2020,TRUE,,,,,,,,course_type_raw=연구; department=; page=26,2020
CH9103,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4217,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS4218,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS9101,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS9102,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
BS9103,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=26,2020
EC3101,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=27,2020
MC2100,2018,2020,TRUE,,,,,,,,course_type_raw=전공필수; department=; page=27,2020
EC3102,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=27,2020
MC2101,2018,2020,TRUE,,,,,,,,course_type_raw=; department=; page=27,2020
